trial,seed,delta,mode,n_affected,n_veto_pop,n_weak_nv_pop,n_normal_pop,v,weak_rate,veto_among_weak,n_veto_topk,n_weak_nv_topk,n_normal_topk,n_weak_topk,mean_Q_topk,mean_R_topk,mean_Rprime_topk,frac_Rprime1_topk,frac_weak_topk,frac_veto_topk,p_threshold,mean_P_veto,mean_P_weak_nv,mean_P_normal,mean_P_veto_topk,mean_P_weak_nv_topk,mean_P_normal_topk,inclusion_veto,inclusion_weak_nv,inclusion_normal,frac_sat_veto,frac_sat_weak_nv,frac_sat_affected,frac_raw_ge1_veto,frac_raw_ge1_weak_nv,frac_raw_ge1_affected,aff_n,aff_mean_R,aff_mean_Rprime,aff_median_Rprime,aff_mean_increase,aff_frac_saturated,aff_Rprime_q25,aff_Rprime_q50,aff_Rprime_q75,aff_Rprime_q90,aff_Rprime_q95,veto_n,veto_mean_R,veto_mean_Rprime,veto_median_Rprime,veto_mean_increase,veto_frac_saturated,veto_Rprime_q25,veto_Rprime_q50,veto_Rprime_q75,veto_Rprime_q90,veto_Rprime_q95,weak_nv_n,weak_nv_mean_R,weak_nv_mean_Rprime,weak_nv_median_Rprime,weak_nv_mean_increase,weak_nv_frac_saturated,weak_nv_Rprime_q25,weak_nv_Rprime_q50,weak_nv_Rprime_q75,weak_nv_Rprime_q90,weak_nv_Rprime_q95,aff_in_n,aff_in_mean_R,aff_in_mean_Rprime,aff_in_median_Rprime,aff_in_mean_increase,aff_in_frac_saturated,aff_in_Rprime_q25,aff_in_Rprime_q50,aff_in_Rprime_q75,aff_in_Rprime_q90,aff_in_Rprime_q95,aff_out_n,aff_out_mean_R,aff_out_mean_Rprime,aff_out_median_Rprime,aff_out_mean_increase,aff_out_frac_saturated,aff_out_Rprime_q25,aff_out_Rprime_q50,aff_out_Rprime_q75,aff_out_Rprime_q90,aff_out_Rprime_q95,P_veto_q25,P_veto_q50,P_veto_q75,P_veto_q90,P_veto_q95,P_weak_nv_q25,P_weak_nv_q50,P_weak_nv_q75,P_weak_nv_q90,P_weak_nv_q95,P_normal_q25,P_normal_q50,P_normal_q75,P_normal_q90,P_normal_q95
0,42,0.0,clipped,312,200,112,688,0.03,0.03,1.0,3,0,97,3,0.6252902860815683,0.84519557984,0.84519557984,0.0,0.03,0.03,0.7167344296274314,0.6110494808737138,0.41203867848748593,0.5156722344517202,0.7290327006678319,,0.7921116241034608,0.015,0.0,0.14098837209302326,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.6998668571989001,0.6998668571989001,0.7721707709012953,0.0,0.0,0.596497250978079,0.7721707709012953,0.8695145754658987,0.9063663191942604,0.9273831265142499,200.0,0.8147326411649517,0.8147326411649517,0.8355930773194824,0.0,0.0,0.7484632944204571,0.8355930773194824,0.8878764574898933,0.9215927023979432,0.9320651856430063,112.0,0.49474938583095085,0.49474938583095085,0.49670318505129996,0.0,0.0,0.3164586833936507,0.49670318505129996,0.6343117067841483,0.8224031785544604,0.864193154560102,3.0,0.9720436008904425,0.9720436008904425,0.9677657773048548,0.0,0.0,0.9666578720102241,0.9677657773048548,0.975290417977867,0.9798052023816743,0.9813101305162768,309.0,0.6972243645417007,0.6972243645417007,0.7675530521455202,0.0,0.0,0.5921026845821029,0.7675530521455202,0.8672408964416195,0.9047277545280079,0.9247367971693772,0.5613474708153429,0.6266948079896119,0.6659073431174201,0.6911945267984575,0.6990488892322548,0.2797490893636756,0.4161048683577182,0.5212039398759863,0.6571887866977266,0.685338475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.0,unclipped,312,200,112,688,0.03,0.03,1.0,3,0,97,3,0.6252902860815683,0.84519557984,0.84519557984,0.0,0.03,0.03,0.7167344296274314,0.6110494808737138,0.41203867848748593,0.5156722344517202,0.7290327006678319,,0.7921116241034608,0.015,0.0,0.14098837209302326,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.6998668571989001,0.6998668571989001,0.7721707709012953,0.0,0.0,0.596497250978079,0.7721707709012953,0.8695145754658987,0.9063663191942604,0.9273831265142499,200.0,0.8147326411649517,0.8147326411649517,0.8355930773194824,0.0,0.0,0.7484632944204571,0.8355930773194824,0.8878764574898933,0.9215927023979432,0.9320651856430063,112.0,0.49474938583095085,0.49474938583095085,0.49670318505129996,0.0,0.0,0.3164586833936507,0.49670318505129996,0.6343117067841483,0.8224031785544604,0.864193154560102,3.0,0.9720436008904425,0.9720436008904425,0.9677657773048548,0.0,0.0,0.9666578720102241,0.9677657773048548,0.975290417977867,0.9798052023816743,0.9813101305162768,309.0,0.6972243645417007,0.6972243645417007,0.7675530521455202,0.0,0.0,0.5921026845821029,0.7675530521455202,0.8672408964416195,0.9047277545280079,0.9247367971693772,0.5613474708153429,0.6266948079896119,0.6659073431174201,0.6911945267984575,0.6990488892322548,0.2797490893636756,0.4161048683577182,0.5212039398759863,0.6571887866977266,0.685338475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.05,clipped,312,200,112,688,0.12,0.16,0.75,12,4,84,16,0.5465330763522548,0.8680798033396276,0.8753859809461721,0.05,0.16,0.12,0.7356984732706952,0.6482892974761679,0.4495386784874859,0.5156722344517202,0.7458390377911295,0.7426424463482183,0.8023409195343196,0.06,0.03571428571428571,0.12209302325581395,0.025,0.0,0.016025641025641024,0.025,0.0,0.016025641025641024,312.0,0.6998668571989001,0.7496444782266388,0.8221707709012953,0.04977762102773866,0.016025641025641024,0.6464972509780791,0.8221707709012953,0.9195145754658988,0.9563663191942604,0.97738312651425,200.0,0.8147326411649517,0.864385729968224,0.8855930773194824,0.0496530888032723,0.025,0.7984632944204572,0.8855930773194824,0.9378764574898933,0.9715927023979433,0.9820651856430064,112.0,0.49474938583095085,0.5447493858309509,0.5467031850513,0.05000000000000003,0.0,0.3664586833936506,0.5467031850513,0.6843117067841483,0.8724031785544605,0.9141931545601021,16.0,0.9354076628107747,0.9810712728516778,0.992227548751855,0.045663610040903184,0.3125,0.9740366804997708,0.992227548751855,1.0,1.0,1.0,296.0,0.6871349217604203,0.7371349217604204,0.8031871225983707,0.05000000000000004,0.0,0.6294314440902343,0.8031871225983707,0.9057337736926947,0.9437858942228534,0.9599872469403444,0.598847470815343,0.6641948079896118,0.70340734311742,0.7286945267984575,0.7365488892322548,0.3172490893636756,0.4536048683577183,0.5587039398759863,0.6946887866977266,0.7228384752917779,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.05,unclipped,312,200,112,688,0.12,0.16,0.75,12,4,84,16,0.5465330763522548,0.8680798033396276,0.8760798033396278,0.05,0.16,0.12,0.7356984732706952,0.6485494808737138,0.4495386784874859,0.5156722344517202,0.7501754277502264,0.7426424463482183,0.8023409195343196,0.06,0.03571428571428571,0.12209302325581395,0.025,0.0,0.016025641025641024,0.025,0.0,0.016025641025641024,312.0,0.6998668571989001,0.7498668571989001,0.8221707709012953,0.05000000000000004,0.016025641025641024,0.6464972509780791,0.8221707709012953,0.9195145754658988,0.9563663191942604,0.97738312651425,200.0,0.8147326411649517,0.8647326411649517,0.8855930773194824,0.050000000000000044,0.025,0.7984632944204572,0.8855930773194824,0.9378764574898933,0.9715927023979433,0.9820651856430064,112.0,0.49474938583095085,0.5447493858309509,0.5467031850513,0.05000000000000003,0.0,0.3664586833936506,0.5467031850513,0.6843117067841483,0.8724031785544605,0.9141931545601021,16.0,0.9354076628107747,0.9854076628107746,0.992227548751855,0.050000000000000024,0.3125,0.9740366804997708,0.992227548751855,1.0015010141569902,1.016657872010224,1.0215280976413608,296.0,0.6871349217604203,0.7371349217604204,0.8031871225983707,0.05000000000000004,0.0,0.6294314440902343,0.8031871225983707,0.9057337736926947,0.9437858942228534,0.9599872469403444,0.598847470815343,0.6641948079896118,0.70340734311742,0.7286945267984575,0.7365488892322548,0.3172490893636756,0.4536048683577183,0.5587039398759863,0.6946887866977266,0.7228384752917779,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.1,clipped,312,200,112,688,0.18,0.27,0.6666666666666666,18,9,73,27,0.49322934148283337,0.8748691385236812,0.8976580305053012,0.19,0.27,0.18,0.75,0.6823343754266148,0.4870204263959401,0.5156722344517202,0.75,0.768698731278722,0.8114629759378071,0.09,0.08035714285714286,0.10610465116279069,0.185,0.008928571428571428,0.12179487179487179,0.185,0.008928571428571428,0.12179487179487179,312.0,0.6998668571989001,0.796682817354144,0.8721707709012954,0.09681596015524392,0.12179487179487179,0.696497250978079,0.8721707709012954,0.9695145754658987,1.0,1.0,200.0,0.8147326411649517,0.9097791672354865,0.9355930773194825,0.09504652607053474,0.185,0.8484632944204571,0.9355930773194825,0.9878764574898933,1.0,1.0,112.0,0.49474938583095085,0.5947250497088897,0.5967031850513,0.0999756638779389,0.008928571428571428,0.41645868339365066,0.5967031850513,0.7343117067841483,0.9224031785544604,0.9641931545601021,27.0,0.9068330948832,0.9912363985188294,1.0,0.08440330363562959,0.7037037037037037,0.9889998783847289,1.0,1.0,1.0,1.0,285.0,0.6802595294182823,0.7782514254543318,0.8458379884402183,0.09799189603604948,0.06666666666666667,0.6733591554235315,0.8458379884402183,0.948534504235289,0.9902955989074886,1.0,0.6363474708153428,0.7016948079896118,0.74090734311742,0.75,0.75,0.3547490893636756,0.4911048683577182,0.5962039398759863,0.7321887866977266,0.760338475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.1,unclipped,312,200,112,688,0.25,0.31,0.8064516129032258,25,6,69,31,0.4701160372212779,0.8830381332535164,0.9140381332535165,0.26,0.31,0.25,0.7596588946356793,0.6860494808737136,0.48703867848748594,0.5156722344517202,0.7774003825951469,0.7757063546808899,0.814732075820024,0.125,0.05357142857142857,0.1002906976744186,0.185,0.008928571428571428,0.12179487179487179,0.185,0.008928571428571428,0.12179487179487179,312.0,0.6998668571989001,0.7998668571989,0.8721707709012954,0.09999999999999999,0.12179487179487179,0.696497250978079,0.8721707709012954,0.9695145754658987,1.0063663191942605,1.02738312651425,200.0,0.8147326411649517,0.9147326411649516,0.9355930773194825,0.09999999999999998,0.185,0.8484632944204571,0.9355930773194825,0.9878764574898933,1.0215927023979434,1.0320651856430065,112.0,0.49474938583095085,0.5947493858309508,0.5967031850513,0.09999999999999999,0.008928571428571428,0.41645868339365066,0.5967031850513,0.7343117067841483,0.9224031785544604,0.9641931545601021,31.0,0.9256706979706663,1.025670697970666,1.0280751995903263,0.10000000000000003,0.8387096774193549,1.0179898191695695,1.0280751995903263,1.042227548751855,1.0518751266973525,1.0666578720102242,281.0,0.6749561131991679,0.7749561131991679,0.8427463849263,0.09999999999999998,0.042704626334519574,0.6718676117902511,0.8427463849263,0.9435180418412507,0.9857722733336555,0.9960215674433983,0.6363474708153428,0.7016948079896118,0.74090734311742,0.7661945267984575,0.7740488892322548,0.3547490893636756,0.4911048683577182,0.5962039398759863,0.7321887866977266,0.760338475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.15,clipped,312,200,112,688,0.12,0.27,0.4444444444444444,12,15,73,27,0.5044084688810969,0.8650689906912361,0.8976925671769277,0.19,0.27,0.12,0.75,0.7077297614438934,0.5230093627662767,0.5156722344517202,0.75,0.780023801122471,0.8114629759378071,0.06,0.13392857142857142,0.10610465116279069,0.44,0.0625,0.30448717948717946,0.44,0.0625,0.30448717948717946,312.0,0.6998668571989001,0.8356137493068511,0.9221707709012954,0.1357468921079509,0.30448717948717946,0.7464972509780791,0.9221707709012954,1.0,1.0,1.0,200.0,0.8147326411649517,0.9436396819251914,0.9855930773194825,0.12890704076023954,0.44,0.8984632944204571,0.9855930773194825,1.0,1.0,1.0,112.0,0.49474938583095085,0.6427102982026719,0.6467031850513,0.14796091237172102,0.0625,0.4664586833936506,0.6467031850513,0.7843117067841483,0.9724031785544605,1.0,27.0,0.8705362510593287,0.9913643121174458,1.0,0.120828061058117,0.7037037037037037,0.993865295655999,1.0,1.0,1.0,1.0,285.0,0.6836981777805436,0.8208584328300578,0.8958379884402183,0.1371602550495141,0.26666666666666666,0.7233591554235316,0.8958379884402183,1.0,1.0,1.0,0.6738474708153429,0.7391948079896118,0.75,0.75,0.75,0.39224908936367564,0.5286048683577182,0.6337039398759863,0.7680984363972284,0.785545225164635,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.15,unclipped,312,200,112,688,0.42,0.52,0.8076923076923077,42,10,48,52,0.3442522649821615,0.8987537320069481,0.9767537320069483,0.49,0.52,0.42,0.7829165352400966,0.7235494808737138,0.5245386784874859,0.5156722344517202,0.8048362856420548,0.8045242727905034,0.8336347875042458,0.21,0.08928571428571429,0.06976744186046512,0.44,0.0625,0.30448717948717946,0.44,0.0625,0.30448717948717946,312.0,0.6998668571989001,0.8498668571989001,0.9221707709012954,0.15,0.30448717948717946,0.7464972509780791,0.9221707709012954,1.0195145754658985,1.0563663191942603,1.07738312651425,200.0,0.8147326411649517,0.9647326411649516,0.9855930773194825,0.14999999999999997,0.44,0.8984632944204571,0.9855930773194825,1.0378764574898933,1.0715927023979432,1.0820651856430064,112.0,0.49474938583095085,0.6447493858309509,0.6467031850513,0.14999999999999997,0.0625,0.4664586833936506,0.6467031850513,0.7843117067841483,0.9724031785544605,1.0141931545601022,52.0,0.9127712379998277,1.062771237999828,1.0614003174978166,0.14999999999999997,0.9423076923076923,1.0474073333966007,1.0614003174978166,1.0800929065893285,1.0986317504670235,1.1080288047055609,260.0,0.6572859810387146,0.8072859810387145,0.8713660829717818,0.15,0.17692307692307693,0.7012503853205093,0.8713660829717818,0.9711957268840379,1.0220101182324144,1.032925862216569,0.6738474708153429,0.7391948079896118,0.7784073431174199,0.8036945267984573,0.8115488892322547,0.39224908936367564,0.5286048683577182,0.6337039398759863,0.7696887866977266,0.797838475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.2,clipped,312,200,112,688,0.09,0.27,0.3333333333333333,9,18,73,27,0.5110433995535898,0.858528233254296,0.8986890379492632,0.23,0.27,0.09,0.75,0.7256742576907976,0.556885886457473,0.5156722344517202,0.75,0.788386977309698,0.8114629759378071,0.045,0.16071428571428573,0.10610465116279069,0.595,0.125,0.42628205128205127,0.595,0.125,0.42628205128205127,312.0,0.6998668571989001,0.8671653300880254,0.9721707709012953,0.16729847288912522,0.42628205128205127,0.796497250978079,0.9721707709012953,1.0,1.0,1.0,200.0,0.8147326411649517,0.9675656769210635,1.0,0.1528330357561118,0.595,0.9484632944204572,1.0,1.0,1.0,1.0,112.0,0.49474938583095085,0.6878789964576001,0.6967031850513,0.1931296106266493,0.125,0.5164586833936506,0.6967031850513,0.8343117067841483,1.0,1.0,27.0,0.8463112235151067,0.9950549446075778,1.0,0.14874372109247108,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,285.0,0.6859931803899962,0.8550494718703835,0.9458379884402184,0.16905629148038717,0.38596491228070173,0.7733591554235315,0.9458379884402184,1.0,1.0,1.0,0.7113474708153428,0.75,0.75,0.75,0.75,0.4297490893636756,0.5661048683577181,0.6712039398759864,0.7827144029254515,0.7926605965660973,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
0,42,0.2,unclipped,312,200,112,688,0.61,0.72,0.8472222222222222,61,11,28,72,0.22287603692851413,0.9045337543525003,1.0485337543525,0.72,0.72,0.61,0.8114723236250931,0.7610494808737138,0.562038678487486,0.5156722344517202,0.833939844200808,0.839262184229727,0.8610613563169309,0.305,0.09821428571428571,0.040697674418604654,0.595,0.125,0.42628205128205127,0.595,0.125,0.42628205128205127,312.0,0.6998668571989001,0.8998668571989,0.9721707709012953,0.19999999999999998,0.42628205128205127,0.796497250978079,0.9721707709012953,1.0695145754658988,1.1063663191942603,1.12738312651425,200.0,0.8147326411649517,1.0147326411649515,1.0355930773194824,0.20000000000000004,0.595,0.9484632944204572,1.0355930773194824,1.0878764574898934,1.1215927023979433,1.1320651856430064,112.0,0.49474938583095085,0.6947493858309509,0.6967031850513,0.20000000000000004,0.125,0.5164586833936506,0.6967031850513,0.8343117067841483,1.0224031785544605,1.0641931545601022,72.0,0.9047718501869669,1.1047718501869666,1.1025372139406593,0.20000000000000004,1.0,1.087370462231187,1.1025372139406593,1.125389089114244,1.1425563192844446,1.151600777501087,240.0,0.6383953593024801,0.83839535930248,0.9021661585346622,0.20000000000000007,0.25416666666666665,0.7235460402848146,0.9021661585346622,1.002925356623615,1.0520618466186231,1.0688262577158338,0.7113474708153428,0.7766948079896119,0.81590734311742,0.8411945267984574,0.8490488892322547,0.4297490893636756,0.5661048683577181,0.6712039398759864,0.8071887866977265,0.835338475291778,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672
