trial,seed,lambda,q_weak,mode,delta,v,w_weak,e_weak_context,s_veto_given_weak,n_veto_topk,n_weak_nv_topk,n_normal_topk,p_threshold,mean_R_topk,frac_Rprime1_topk,contrib_veto_R,contrib_weak_nv_R,contrib_normal_R,veto_inclusion,veto_frac_sat,veto_mean_P_all,veto_mean_R_orig_all,veto_mean_P_sel,veto_mean_P_nsel,veto_mean_R_orig_sel,veto_mean_R_orig_nsel,veto_count_topk,veto_P_q25,veto_P_q50,veto_P_q75,veto_P_q90,veto_P_q95,weak_nv_inclusion,weak_nv_frac_sat,weak_nv_mean_P_all,weak_nv_mean_R_orig_all,weak_nv_mean_P_sel,weak_nv_mean_P_nsel,weak_nv_mean_R_orig_sel,weak_nv_mean_R_orig_nsel,weak_nv_count_topk,weak_nv_P_q25,weak_nv_P_q50,weak_nv_P_q75,weak_nv_P_q90,weak_nv_P_q95,normal_inclusion,normal_frac_sat,normal_mean_P_all,normal_mean_R_orig_all,normal_mean_P_sel,normal_mean_P_nsel,normal_mean_R_orig_sel,normal_mean_R_orig_nsel,normal_count_topk,normal_P_q25,normal_P_q50,normal_P_q75,normal_P_q90,normal_P_q95,pairwise_weak_gt_veto,pairwise_sat_weak_gt_veto,n_veto_weak_pairs,n_sat_pairs
0,42,0.75,0.25,unclipped,0.15,0.42,0.1,0.52,0.8076923076923077,42,10,48,0.7829165352400966,0.8987537320069481,0.49,0.3877083199595507,0.08693272380035967,0.42411268824703763,0.21,0.44,0.7235494808737138,0.8147326411649517,0.8048362856420548,0.7019415960618762,0.9231150475227398,0.7859221280825016,42.0,0.6738474708153429,0.7391948079896118,0.7784073431174199,0.8036945267984573,0.8115488892322547,0.08928571428571429,0.0625,0.5245386784874859,0.49474938583095085,0.8045242727905034,0.49708911041856263,0.8693272380035968,0.4580260669904954,10.0,0.39224908936367564,0.5286048683577182,0.6337039398759863,0.7696887866977266,0.797838475291778,0.06976744186046512,0.0,0.5156722344517202,0.5023188375877538,0.8336347875042458,0.4918250429727807,0.8835681005146617,0.4737251428682356,48.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,0.8051948051948052,22400.0,616.0
0,42,0.75,0.25,unclipped,0.2,0.61,0.11,0.72,0.8472222222222222,61,11,28,0.8114723236250931,0.9045337543525003,0.72,0.5562710732833239,0.09516465885129217,0.25309802221788397,0.305,0.595,0.7610494808737138,0.8147326411649517,0.833939844200808,0.7290616235862839,0.9119197922677441,0.7720821647817118,61.0,0.7113474708153428,0.7766948079896119,0.81590734311742,0.8411945267984574,0.8490488892322547,0.09821428571428571,0.125,0.562038678487486,0.49474938583095085,0.839262184229727,0.5318460194462519,0.8651332622844744,0.4544105478013591,11.0,0.4297490893636756,0.5661048683577181,0.6712039398759864,0.8071887866977265,0.835338475291778,0.040697674418604654,0.0,0.5156722344517202,0.5023188375877538,0.8610613563169309,0.5010193626150143,0.9039215079210142,0.48528114854331234,28.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,0.7142857142857143,22400.0,1666.0
0,42,0.75,0.25,unclipped,0.25,0.7,0.12,0.82,0.8536585365853658,70,12,18,0.8413992637355125,0.9032220582241899,0.82,0.635206511673176,0.10331756124834547,0.1646979853026685,0.35,0.745,0.7985494808737138,0.8147326411649517,0.8680784053641171,0.7611108292250351,0.9074378738188229,0.7648144389667134,70.0,0.7488474708153429,0.814194807989612,0.85340734311742,0.8786945267984575,0.8865488892322548,0.10714285714285714,0.15178571428571427,0.5995386784874859,0.49474938583095085,0.874122917427619,0.56658856981467,0.8609796770695456,0.4508017508823194,12.0,0.4672490893636756,0.6036048683577182,0.7087039398759863,0.8446887866977266,0.8728384752917778,0.02616279069767442,0.0,0.5156722344517202,0.5023188375877538,0.8787024984335474,0.5059191825835516,0.9149888072370472,0.49123218168672794,18.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,0.703513620213186,22400.0,2533.0
0,42,0.75,0.25,unclipped,0.3,0.77,0.14,0.91,0.8461538461538461,77,14,9,0.8744962642189875,0.8996702088075297,0.91,0.6959991336356655,0.11969483609815283,0.08397623907371143,0.385,0.87,0.8360494808737138,0.8147326411649517,0.9029212340607129,0.794186676033072,0.9038949787476175,0.7589155680440961,77.0,0.7863474708153428,0.8516948079896118,0.89090734311742,0.9161945267984575,0.9240488892322548,0.125,0.17857142857142858,0.6370386784874859,0.49474938583095085,0.9066269334456735,0.5985260706363162,0.8549631149868059,0.4432902816658287,14.0,0.5047490893636757,0.6411048683577182,0.7462039398759863,0.8821887866977266,0.9103384752917779,0.01308139534883721,0.0,0.5156722344517202,0.5023188375877538,0.8998408515890434,0.5105801614705185,0.9330693230412381,0.4966093318895484,9.0,0.38809465529602205,0.5083015571618097,0.6457101282067215,0.7589566274435491,0.796515027761672,0.15316964285714285,0.6767241379310345,22400.0,3480.0
1,43,0.75,0.25,clipped,0.0,0.02,0.04,0.06,0.3333333333333333,2,4,94,0.7370460365355747,0.8530686308763528,0.0,0.019728793048915248,0.03763540296275496,0.7957044348646825,0.01,0.0,0.5958143936533609,0.7944191915378144,0.7398297393343217,0.5943596931919369,0.9864396524457624,0.7924795909225826,2.0,0.5351465081985329,0.6042615463481101,0.6662713756188396,0.7021071768036821,0.7207067874674016,0.029850746268656716,0.0,0.43935235506113657,0.5304507513944275,0.750892077815241,0.42976651743793337,0.9408850740688739,0.5178220030044446,4.0,0.32216206922642765,0.4666438137627322,0.5466457905731301,0.6822371945927994,0.7229216963872561,0.14114114114114115,0.0,0.5255392250323205,0.5149872070882908,0.7945949235725923,0.4813237780694086,0.8464940796432793,0.46050880495512836,94.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.2203358208955224,,26800.0,0.0
1,43,0.75,0.25,clipped,0.05,0.13,0.1,0.23,0.5652173913043478,13,10,77,0.75,0.8819547757327167,0.14,0.1259475500492241,0.09182443657579448,0.664182789107698,0.065,0.07,0.6323087259809785,0.7944191915378144,0.75,0.6241269796588005,0.9688273080709546,0.7822945631157244,13.0,0.572646508198533,0.6417615463481101,0.7037713756188396,0.739607176803682,0.75,0.07462686567164178,0.007462686567164179,0.476787008198776,0.5304507513944275,0.7712863275386262,0.4530370630907236,0.9182443657579448,0.49917707281672463,10.0,0.3596620692264277,0.5041438137627322,0.5841457905731302,0.7197371945927994,0.7604216963872562,0.11561561561561562,0.0,0.5255392250323205,0.5149872070882908,0.8059703381936039,0.48887845132532753,0.8625750507892181,0.46954703057730374,77.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.22220149253731344,1.0,26800.0,14.0
1,43,0.75,0.25,clipped,0.1,0.07,0.16,0.23,0.30434782608695654,7,16,77,0.75,0.8723265642407868,0.15,0.0649600994312487,0.14318367570184015,0.664182789107698,0.035,0.215,0.6646060495431751,0.7944191915378144,0.75,0.6615088596302334,0.92800142044641,0.7895742402302487,7.0,0.6101465081985329,0.6792615463481102,0.7412713756188396,0.75,0.75,0.11940298507462686,0.05970149253731343,0.5130881757412239,0.5304507513944275,0.7813098947128436,0.4767191291010043,0.894897973136501,0.4810341789548245,16.0,0.3971620692264277,0.5416438137627322,0.6216457905731302,0.7572371945927994,0.7855291831138244,0.11561561561561562,0.0,0.5255392250323205,0.5149872070882908,0.8059703381936039,0.48887845132532753,0.8625750507892181,0.46954703057730374,77.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.22955223880597014,1.0,26800.0,344.0
1,43,0.75,0.25,clipped,0.15,0.03,0.2,0.23,0.13043478260869565,3,20,77,0.75,0.8663512573067842,0.16,0.02657378491456861,0.1755946832845176,0.664182789107698,0.015,0.345,0.6914401907068698,0.7944191915378144,0.75,0.6905484169612891,0.8857928304856203,0.7930277148025685,3.0,0.647646508198533,0.7167615463481102,0.75,0.75,0.75,0.14925373134328357,0.09701492537313433,0.5476336545984589,0.5304507513944275,0.7889381976851945,0.505299524232365,0.8779734164225881,0.46948186279299603,20.0,0.43466206922642764,0.5791438137627322,0.6591457905731302,0.7810436947642807,0.797071455468344,0.11561561561561562,0.0,0.5255392250323205,0.5149872070882908,0.8059703381936039,0.48887845132532753,0.8625750507892181,0.46954703057730374,77.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.2380597014925373,1.0,26800.0,897.0
1,43,0.75,0.25,clipped,0.2,0.0,0.24,0.24,0.0,0,24,76,0.7558297745337074,0.861465783728207,0.19,0.0,0.20583059522435462,0.6556351885038524,0.0,0.52,0.7127062274354944,0.7944191915378144,,0.7127062274354944,,0.7944191915378144,0.0,0.6851465081985331,0.75,0.75,0.75,0.75,0.1791044776119403,0.1417910447761194,0.580564763289885,0.5304507513944275,0.7905048865097406,0.534759645496462,0.8576274801014776,0.459066737858344,24.0,0.4721620692264277,0.6166438137627321,0.6966457905731301,0.7930177517072534,0.7998196010062357,0.11411411411411411,0.0,0.5255392250323205,0.5149872070882908,0.8066441322655136,0.48932910138872276,0.862677879610332,0.47019993401765486,76.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.2516044776119403,1.0,26800.0,1976.0
1,43,0.75,0.25,clipped,0.25,0.0,0.28,0.28,0.0,0,28,72,0.7707161780876705,0.8608052865520291,0.23,0.0,0.2351593194398378,0.6256459671121913,0.0,0.675,0.7274806757662805,0.7944191915378144,,0.7274806757662805,,0.7944191915378144,0.0,0.7226465081985329,0.75,0.75,0.75,0.75,0.208955223880597,0.17164179104477612,0.6123051763095868,0.5304507513944275,0.7936563286871049,0.5644010983230727,0.839854712285135,0.4487214032346181,28.0,0.5096620692264276,0.6541438137627322,0.7341457905731301,0.7967081306921439,0.8021969400287222,0.10810810810810811,0.0,0.5255392250323205,0.5149872070882908,0.8092418493944067,0.4911510281399464,0.8689527321002657,0.47208229496562715,72.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.2872761194029851,1.0,26800.0,3105.0
1,43,0.75,0.25,clipped,0.3,0.0,0.31,0.31,0.0,0,31,69,0.7735659026026462,0.857350671647279,0.3,0.0,0.25493016161552623,0.6024205100317528,0.0,0.785,0.7377479437296373,0.7944191915378144,,0.7377479437296373,,0.7944191915378144,0.0,0.75,0.75,0.75,0.75,0.75,0.23134328358208955,0.2462686567164179,0.6417266869367774,0.5304507513944275,0.7949258385692584,0.5956182044066133,0.8223553600500847,0.44259596626505504,31.0,0.5471620692264277,0.6916438137627322,0.769282389845608,0.7976792211235516,0.8045732463971367,0.1036036036036036,0.0,0.5255392250323205,0.5149872070882908,0.8108692744177268,0.49256138012847955,0.8730732029445692,0.47360038344661043,69.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.3308208955223881,1.0,26800.0,5181.0
1,43,0.75,0.25,unclipped,0.0,0.02,0.04,0.06,0.3333333333333333,2,4,94,0.7370460365355747,0.8530686308763528,0.0,0.019728793048915248,0.03763540296275496,0.7957044348646825,0.01,0.0,0.5958143936533609,0.7944191915378144,0.7398297393343217,0.5943596931919369,0.9864396524457624,0.7924795909225826,2.0,0.5351465081985329,0.6042615463481101,0.6662713756188396,0.7021071768036821,0.7207067874674016,0.029850746268656716,0.0,0.43935235506113657,0.5304507513944275,0.750892077815241,0.42976651743793337,0.9408850740688739,0.5178220030044446,4.0,0.32216206922642765,0.4666438137627322,0.5466457905731301,0.6822371945927994,0.7229216963872561,0.14114114114114115,0.0,0.5255392250323205,0.5149872070882908,0.7945949235725923,0.4813237780694086,0.8464940796432793,0.46050880495512836,94.0,0.39101415956138985,0.5323850001479267,0.6603480126579458,0.7749538836231158,0.8042447747609355,0.2203358208955224,,26800.0,0.0
