lambda,delta,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
0.5,0.0,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.5,0.0,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.5,0.0,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.5,0.05,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.963118649921234,0.0018956427700597747,0.9592983092464649,0.96679803385992,1.0,0.0,1.0,1.0
0.5,0.05,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.994331371976647,0.0005984718011712927,0.9930770433694746,0.9954631984987486,1.0,0.0,1.0,1.0
0.5,0.05,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9984404753961633,0.0005510934674505169,0.9972602168473726,0.9994248331943284,1.0,0.0,1.0,1.0
0.5,0.1,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.925379623482771,0.0037596961941470425,0.9176068659540215,0.932506739134481,1.0,0.0,1.0,1.0
0.5,0.1,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.9884690492076728,0.001190104378507515,0.9860133444537112,0.9907842994161798,1.0,0.0,1.0,1.0
0.5,0.1,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9975221934945787,0.0009188097524229307,0.9955585904920767,0.9991537739783151,1.0,0.0,1.0,1.0
0.5,0.15,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.8881611867418064,0.0055259960545987665,0.8771916452544016,0.898906617146121,1.0,0.0,1.0,1.0
0.5,0.15,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.9825188073394494,0.0017865628247146215,0.978879378648874,0.9860728732276896,1.0,0.0,1.0,1.0
0.5,0.15,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9971170433694745,0.0011096180920264166,0.9949121142618848,0.9990454545454543,1.0,0.0,1.0,1.0
0.5,0.2,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.8524410321646227,0.007209187841949535,0.8381155720821213,0.8661977568983498,1.0,0.0,1.0,1.0
0.5,0.2,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.9765702001668055,0.0023708765254190564,0.971530442035029,0.9811894286905752,1.0,0.0,1.0,1.0
0.5,0.2,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969980191826521,0.0011771281840247776,0.9946447039199331,0.999041180150125,1.0,0.0,1.0,1.0
0.5,0.25,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.8189631796054425,0.009008580485645372,0.8008848438870495,0.8359265448222745,1.0,0.0,1.0,1.0
0.5,0.25,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.9707175062552125,0.002949041846623511,0.9646562760633859,0.9763808381984985,1.0,0.0,1.0,1.0
0.5,0.25,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969888615512925,0.0011827026285318322,0.9945930984153462,0.999041180150125,1.0,0.0,1.0,1.0
0.5,0.3,linear,0.0,0.0,0.0,0.0,0.7584454237932592,0.013322335252258852,0.7341740348055262,0.785468662328159,0.7880748278306043,0.010682251195026462,0.7670338548823696,0.8080947724451171,1.0,0.0,1.0,1.0
0.5,0.3,geometric,0.0,0.0,0.0,0.0,0.7576187547853785,0.01253323727042121,0.7338721417814541,0.7814609099690546,0.9650383527939949,0.0035243921491593874,0.9579838407005836,0.9718654086738948,1.0,0.0,1.0,1.0
0.5,0.3,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9969888615512925,0.0011827026285318322,0.9945930984153462,0.999041180150125,1.0,0.0,1.0,1.0
0.75,0.0,linear,0.07748000000000002,0.03595194211919771,0.02,0.15,0.8502395437426117,0.007968103239384421,0.8353422132994193,0.866130931328862,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.0,geometric,0.0,0.0,0.0,0.0,0.8175793524340013,0.010034493713855324,0.798411641664163,0.8366176664561961,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.0,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.75,0.05,linear,0.20864000000000002,0.045217198000263074,0.12,0.3,0.8754462853139396,0.007478453314518418,0.8617490442115238,0.8890090931402697,0.9471059812756437,0.0016911714652282494,0.9438146848671914,0.9503766798996122,0.7397415367293968,0.0405331449266883,0.6528925619834711,0.8181818181818182
0.75,0.05,geometric,0.0,0.0,0.0,0.0,0.8178383962346774,0.009916257607164487,0.7985748345544419,0.836835348153905,0.9855763427856545,0.0011764362286157575,0.9832816930775643,0.9879445371142617,0.9974870785765041,0.006874283776594622,0.9801980198019802,1.0
0.75,0.05,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9984404753961633,0.0005510934674505169,0.9972602168473726,0.9994248331943284,1.0,0.0,1.0,1.0
0.75,0.1,linear,0.25055,0.07775759605172823,0.08,0.39,0.8795108129028897,0.008266884180487634,0.8616383303253129,0.8955041398933742,0.8973808412859762,0.00338340614963621,0.8910402927990888,0.9039759503064148,0.5962490715168067,0.06376673819918714,0.4925373134328358,0.7391304347826086
0.75,0.1,geometric,0.0,0.0,0.0,0.0,0.8182462428707586,0.009671324840404881,0.7998636028015282,0.836835348153905,0.9707942702251876,0.002324925202350822,0.9661301084236862,0.9753673894912427,0.992948373605537,0.012775801293136393,0.9607843137254902,1.0
0.75,0.1,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9975221934945787,0.0009188097524229307,0.9955585904920767,0.9991537739783151,1.0,0.0,1.0,1.0
0.75,0.15,linear,0.19569,0.07914282966565883,0.03,0.35,0.8676229515779381,0.00721105810240333,0.8531142646410743,0.8814756178434238,0.8513269295853575,0.005113273254040627,0.8419541178265997,0.861389757366192,0.564789784259038,0.07378646903912449,0.4388489208633093,0.7241379310344828
0.75,0.15,geometric,0.0,0.0,0.0,0.0,0.8186679924828358,0.009460038948389071,0.8008444043165767,0.836835348153905,0.9559452210175146,0.0034708684855944668,0.9491736864053377,0.9630798582151793,0.9858998095571276,0.01962976965914772,0.941747572815534,1.0
