operator,mean_tau_lambda,mean_jac_lambda,min_tau_lambda,min_jac_lambda,mean_tau_score,mean_jac_score,min_tau_score,min_jac_score
linear,0.9475871171171173,0.8214492754646205,0.925457757757758,0.7425418277494196,0.7728775203986878,0.5774686350547784,0.5453529938785987,0.335615729837794
geometric,0.9742806203085904,0.9165988619673691,0.965150575479566,0.8861133027758945,0.8561270256984835,0.6637295083479451,0.7049157004745276,0.4021252104808462
min,1.0,1.0,1.0,1.0,0.8824233134540008,0.7552175217955923,0.7571882771797225,0.5405108276369373
