trial,seed,analysis,operator,sigma_r,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
0,42,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.03,0.84519557984
0,42,score_uncertainty,linear,0.02,0.9438838838838839,0.8867924528301887,0.003678540298185262,0.04,0.8488741201381853
0,42,score_uncertainty,linear,0.05,0.8675223899127369,0.7543859649122807,0.019222173637069573,0.06,0.8644177534770696
0,42,score_uncertainty,linear,0.1,0.7498077901296145,0.5267175572519084,0.06308235611137725,0.07,0.9082779359513773
0,42,score_uncertainty,linear,0.2,0.5470635293690653,0.3793103448275862,0.09769939228644264,0.0,0.9428949721264427
0,42,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.829074167336993
0,42,score_uncertainty,geometric,0.02,0.967019833333946,0.8867924528301887,0.0017114495004800778,0.0,0.8307856168374731
0,42,score_uncertainty,geometric,0.05,0.9214530973494819,0.8018018018018018,0.011304219287902706,0.0,0.8403783866248957
0,42,score_uncertainty,geometric,0.1,0.8487359457569842,0.6,0.050361129891743905,0.0,0.8794352972287369
0,42,score_uncertainty,geometric,0.2,0.7036052853050713,0.43884892086330934,0.09002848888359527,0.0,0.9191026562205883
0,42,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7571765114954294
0,42,score_uncertainty,min,0.02,0.9727508032187423,0.9230769230769231,-0.00012993504082081664,0.0,0.7570465764546086
0,42,score_uncertainty,min,0.05,0.937760266152187,0.8348623853211009,0.0023653778045739093,0.0,0.7595418893000033
0,42,score_uncertainty,min,0.1,0.8779016124627365,0.7857142857142857,0.02557085249100255,0.0,0.782747363986432
0,42,score_uncertainty,min,0.2,0.7583876149487986,0.5625,0.0529975444191193,0.0,0.8101740559145487
1,43,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.02,0.8530686308763528
1,43,score_uncertainty,linear,0.02,0.9444164164164165,0.8518518518518519,0.0051282420641916016,0.04,0.8581968729405444
1,43,score_uncertainty,linear,0.05,0.8660942824535541,0.6260162601626016,0.031835217164483676,0.09,0.8849038480408364
1,43,score_uncertainty,linear,0.1,0.7300496608824396,0.4492753623188406,0.05328743992354901,0.11,0.9063560707999018
1,43,score_uncertainty,linear,0.2,0.5561383898856074,0.3422818791946309,0.08782321678687299,0.0,0.9408918476632258
1,43,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8364731516823304
