trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
2,44,lambda_perturbation,linear,0.7,0.9255775775775776,0.8518518518518519,-0.019840596941633537,0.0,0.8230128121916773
2,44,lambda_perturbation,linear,0.725,0.9636796796796797,0.9047619047619048,-0.01068433791462653,0.03,0.8321690712186843
2,44,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.07,0.8428534091333109
2,44,lambda_perturbation,linear,0.775,0.9663303303303303,0.8518518518518519,0.017671709334075136,0.15,0.860525118467386
2,44,lambda_perturbation,linear,0.8,0.9355355355355356,0.7241379310344828,0.03336949421515101,0.23,0.8762229033484619
2,44,lambda_perturbation,geometric,0.7,0.9654211843202668,0.8867924528301887,-0.010393143225943757,0.0,0.8117341403531313
2,44,lambda_perturbation,geometric,0.725,0.9829024186822352,0.9047619047619048,-0.008324494903122703,0.0,0.8138027886759523
2,44,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.822127283579075
2,44,lambda_perturbation,geometric,0.775,0.9833736447039197,0.9607843137254902,0.0018000112706535454,0.0,0.8239272948497286
2,44,lambda_perturbation,geometric,0.8,0.9662802335279399,0.9047619047619048,0.004945025515750712,0.0,0.8270723090948258
2,44,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7369154342234018
2,44,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7369154342234018
2,44,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7369154342234018
2,44,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7369154342234018
2,44,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7369154342234018
3,45,lambda_perturbation,linear,0.7,0.92590990990991,0.8181818181818182,-0.02948285315391941,0.0,0.819838795567713
3,45,lambda_perturbation,linear,0.725,0.9641081081081081,0.8691588785046729,-0.0203560126917669,0.01,0.8289656360298655
3,45,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.08,0.8493216487216324
3,45,lambda_perturbation,linear,0.775,0.9658298298298299,0.8348623853211009,0.02024002473251496,0.17,0.8695616734541474
3,45,lambda_perturbation,linear,0.8,0.9342342342342342,0.6949152542372882,0.03687332747840588,0.26,0.8861949762000383
3,45,lambda_perturbation,geometric,0.7,0.9665804837364469,0.9047619047619048,-0.011347284411292513,0.0,0.80327416144749
3,45,lambda_perturbation,geometric,0.725,0.9835487906588823,0.9230769230769231,-0.009254172158026708,0.0,0.8053672737007558
3,45,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8146214458587825
3,45,lambda_perturbation,geometric,0.775,0.9829899916597162,0.941747572815534,0.008908489097689376,0.0,0.8235299349564719
3,45,lambda_perturbation,geometric,0.8,0.9674937447873225,0.8691588785046729,0.015715691970832668,0.0,0.8303371378296152
3,45,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7453271408414643
3,45,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7453271408414643
3,45,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7453271408414643
3,45,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7453271408414643
3,45,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7453271408414643
4,46,lambda_perturbation,linear,0.7,0.92586986986987,0.8348623853211009,-0.020030616190509054,0.0,0.8184725052074687
4,46,lambda_perturbation,linear,0.725,0.9636276276276277,0.8867924528301887,-0.013364674812192168,0.01,0.8251384465857856
4,46,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.05,0.8385031213979778
4,46,lambda_perturbation,linear,0.775,0.9665785785785785,0.8691588785046729,0.016186926138514357,0.12,0.8546900475364921
4,46,lambda_perturbation,linear,0.8,0.9347867867867868,0.7391304347826086,0.03269463420370389,0.2,0.8711977556016817
4,46,lambda_perturbation,geometric,0.7,0.9642994161801499,0.9047619047619048,-0.009209596968289158,0.0,0.8046122314948922
4,46,lambda_perturbation,geometric,0.725,0.982485404503753,0.9607843137254902,-0.0028904733475300093,0.0,0.8109313551156514
4,46,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8138218284631814
4,46,lambda_perturbation,geometric,0.775,0.9834236864053376,0.941747572815534,0.003702424823739947,0.0,0.8175242532869214
4,46,lambda_perturbation,geometric,0.8,0.9665638031693077,0.9047619047619048,0.00804274555075779,0.0,0.8218645740139392
