trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
1,43,context_noise,high_veto_frac,0.2,0.75,linear,0.08,0.92,0.8503582252724498,8.0,8.0,84.0,0.08,0.08,0.84,0.16,0.0,0.08,0.8457977977977978,0.5625
1,43,context_noise,high_veto_frac,0.2,0.75,geometric,0.01,0.99,0.8277849560870689,1.0,4.0,95.0,0.01,0.04,0.95,0.05,0.0,0.01,0.6893437301575043,0.5873015873015873
1,43,context_noise,high_veto_frac,0.2,0.75,min,0.0,1.0,0.7597655525793269,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6555874727253055,0.5037593984962406
2,44,context_noise,high_veto_frac,0.0,0.75,linear,0.03,0.97,0.8514369865614678,3.0,0.0,97.0,0.03,0.0,0.97,0.03,0.03,0.0,1.0,1.0
2,44,context_noise,high_veto_frac,0.0,0.75,geometric,0.0,1.0,0.8310259252164813,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,44,context_noise,high_veto_frac,0.0,0.75,min,0.0,1.0,0.75405236718912,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,44,context_noise,high_veto_frac,0.05,0.75,linear,0.03,0.97,0.8515545577617207,3.0,0.0,97.0,0.03,0.0,0.97,0.03,0.01,0.02,0.9585065065065065,0.941747572815534
2,44,context_noise,high_veto_frac,0.05,0.75,geometric,0.0,1.0,0.8360400613199133,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8976547439425402,0.9047619047619048
2,44,context_noise,high_veto_frac,0.05,0.75,min,0.0,1.0,0.7546776762455633,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9131483019946266,0.8518518518518519
2,44,context_noise,high_veto_frac,0.1,0.75,linear,0.05,0.95,0.8483121183946837,5.0,0.0,95.0,0.05,0.0,0.95,0.05,0.0,0.05,0.9154914914914914,0.7094017094017094
2,44,context_noise,high_veto_frac,0.1,0.75,geometric,0.0,1.0,0.8202449902718848,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8119768467905752,0.6666666666666666
2,44,context_noise,high_veto_frac,0.1,0.75,min,0.0,1.0,0.7605371048916488,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8141978738191478,0.7094017094017094
2,44,context_noise,high_veto_frac,0.15,0.75,linear,0.04,0.96,0.847846910580992,4.0,0.0,96.0,0.04,0.0,0.96,0.04,0.0,0.04,0.8765285285285286,0.7241379310344828
2,44,context_noise,high_veto_frac,0.15,0.75,geometric,0.0,1.0,0.8282423886716909,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.746682624507005,0.6666666666666666
2,44,context_noise,high_veto_frac,0.15,0.75,min,0.0,1.0,0.7575472479139986,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7347510137392689,0.6
2,44,context_noise,high_veto_frac,0.2,0.75,linear,0.09,0.91,0.8464322817393567,9.0,0.0,91.0,0.09,0.0,0.91,0.09,0.0,0.09,0.8432552552552552,0.6
2,44,context_noise,high_veto_frac,0.2,0.75,geometric,0.03,0.97,0.8243385153428424,3.0,0.0,97.0,0.03,0.0,0.97,0.03,0.0,0.03,0.7045267604332903,0.5503875968992248
2,44,context_noise,high_veto_frac,0.2,0.75,min,0.0,1.0,0.7695082453899478,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6585331350375644,0.5267175572519084
3,45,context_noise,high_veto_frac,0.0,0.75,linear,0.07,0.9299999999999999,0.8482646005996186,7.0,2.0,91.0,0.07,0.02,0.91,0.09,0.07,0.0,1.0,1.0
