trial,seed,analysis,scenario,sigma_q,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility,n_veto_topk,n_weak_nv_topk,n_normal_topk,frac_veto_topk,frac_weak_nv_topk,frac_normal_topk,e_weak_context,observed_veto_rate,false_negative_veto_rate,kendall_tau,jaccard_top_k
1,43,context_noise,low_r_separation,0.2,0.75,linear,0.07,0.9299999999999999,0.850934342741554,7.0,5.0,88.0,0.07,0.05,0.88,0.12,0.0,0.07,0.8463863863863864,0.639344262295082
1,43,context_noise,low_r_separation,0.2,0.75,geometric,0.02,0.98,0.8275372085377195,2.0,2.0,96.0,0.02,0.02,0.96,0.04,0.0,0.02,0.6656499914616268,0.6260162601626016
1,43,context_noise,low_r_separation,0.2,0.75,min,0.0,1.0,0.7446478907842803,0.0,2.0,98.0,0.0,0.02,0.98,0.02,0.0,0.0,0.6515723407787997,0.4925373134328358
2,44,context_noise,low_r_separation,0.0,0.75,linear,0.03,0.97,0.8349574673229779,3.0,1.0,96.0,0.03,0.01,0.96,0.04,0.03,0.0,1.0,1.0
2,44,context_noise,low_r_separation,0.0,0.75,geometric,0.0,1.0,0.822127283579075,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,low_r_separation,0.0,0.75,min,0.0,1.0,0.7369154342234018,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
2,44,context_noise,low_r_separation,0.05,0.75,linear,0.03,0.97,0.8343233385387687,3.0,1.0,96.0,0.03,0.01,0.96,0.04,0.02,0.01,0.9595555555555555,0.941747572815534
2,44,context_noise,low_r_separation,0.05,0.75,geometric,0.0,1.0,0.8180969513334118,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8745951560012847,0.8691588785046729
2,44,context_noise,low_r_separation,0.05,0.75,min,0.0,1.0,0.7365352895638793,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9098017523783632,0.8018018018018018
2,44,context_noise,low_r_separation,0.1,0.75,linear,0.07,0.9299999999999999,0.8386563551192912,7.0,1.0,92.0,0.07,0.01,0.92,0.08,0.02,0.05,0.9174854854854855,0.8018018018018018
2,44,context_noise,low_r_separation,0.1,0.75,geometric,0.0,1.0,0.815351830462475,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7947445527479275,0.8018018018018018
2,44,context_noise,low_r_separation,0.1,0.75,min,0.0,1.0,0.7470844736410142,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8317105633019869,0.6528925619834711
2,44,context_noise,low_r_separation,0.15,0.75,linear,0.06,0.94,0.8364776342975084,6.0,2.0,92.0,0.06,0.02,0.92,0.08,0.0,0.06,0.8804164164164164,0.7391304347826086
2,44,context_noise,low_r_separation,0.15,0.75,geometric,0.0,1.0,0.8111373043037692,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.742253045277783,0.680672268907563
2,44,context_noise,low_r_separation,0.15,0.75,min,0.0,1.0,0.7541820272612454,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7491739829377367,0.5151515151515151
2,44,context_noise,low_r_separation,0.2,0.75,linear,0.08,0.92,0.8327642822501078,8.0,3.0,89.0,0.08,0.03,0.89,0.11,0.01,0.07,0.8425185185185184,0.6528925619834711
2,44,context_noise,low_r_separation,0.2,0.75,geometric,0.02,0.98,0.8066917480484607,2.0,2.0,96.0,0.02,0.02,0.96,0.04,0.0,0.02,0.6408749838444692,0.680672268907563
2,44,context_noise,low_r_separation,0.2,0.75,min,0.01,0.99,0.7516766794210942,1.0,3.0,96.0,0.01,0.03,0.96,0.04,0.0,0.01,0.6628069692782456,0.5384615384615384
3,45,context_noise,low_r_separation,0.0,0.75,linear,0.05,0.95,0.8410764569823044,5.0,4.0,91.0,0.05,0.04,0.91,0.09,0.05,0.0,1.0,1.0
3,45,context_noise,low_r_separation,0.0,0.75,geometric,0.0,1.0,0.8146214458587825,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
3,45,context_noise,low_r_separation,0.0,0.75,min,0.0,1.0,0.7453271408414643,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0
3,45,context_noise,low_r_separation,0.05,0.75,linear,0.06,0.94,0.8412965480111726,6.0,4.0,90.0,0.06,0.04,0.9,0.1,0.04,0.02,0.9585305305305306,0.9047619047619048
3,45,context_noise,low_r_separation,0.05,0.75,geometric,0.0,1.0,0.8077807395620578,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8664675913722834,0.8691588785046729
