sigma_r,top_k,config_id,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high
0.05,50,linear@0.90,0.41086,0.06674515199859324,0.28,0.54
0.05,50,min,0.0,0.0,0.0,0.0
0.05,60,geometric@0.10,0.0,0.0,0.0,0.0
0.05,60,geometric@0.50,0.0,0.0,0.0,0.0
0.05,60,geometric@0.90,0.0,0.0,0.0,0.0
0.05,60,linear@0.10,0.0,0.0,0.0,0.0
0.05,60,linear@0.50,0.0,0.0,0.0,0.0
0.05,60,linear@0.90,0.42458333333333337,0.06068734453838342,0.3,0.5333333333333333
0.05,60,min,0.0,0.0,0.0,0.0
0.05,70,geometric@0.10,0.0,0.0,0.0,0.0
0.05,70,geometric@0.50,0.0,0.0,0.0,0.0
0.05,70,geometric@0.90,0.0,0.0,0.0,0.0
0.05,70,linear@0.10,0.0,0.0,0.0,0.0
0.05,70,linear@0.50,0.0,0.0,0.0,0.0
0.05,70,linear@0.90,0.4342142857142857,0.056562502274938115,0.3282142857142857,0.5428571428571428
0.05,70,min,0.0,0.0,0.0,0.0
0.05,80,geometric@0.10,0.0,0.0,0.0,0.0
0.05,80,geometric@0.50,0.0,0.0,0.0,0.0
0.05,80,geometric@0.90,0.0,0.0,0.0,0.0
0.05,80,linear@0.10,0.0,0.0,0.0,0.0
0.05,80,linear@0.50,0.0,0.0,0.0,0.0
0.05,80,linear@0.90,0.44291250000000004,0.053361583112781635,0.3375,0.55
0.05,80,min,0.0,0.0,0.0,0.0
0.05,90,geometric@0.10,0.0,0.0,0.0,0.0
0.05,90,geometric@0.50,0.0,0.0,0.0,0.0
0.05,90,geometric@0.90,0.0,0.0,0.0,0.0
0.05,90,linear@0.10,0.0,0.0,0.0,0.0
0.05,90,linear@0.50,0.0,0.0,0.0,0.0
0.05,90,linear@0.90,0.44991111111111115,0.04990622083259132,0.3555555555555555,0.5447222222222219
0.05,90,min,0.0,0.0,0.0,0.0
0.05,100,geometric@0.10,0.0,0.0,0.0,0.0
0.05,100,geometric@0.50,0.0,0.0,0.0,0.0
0.05,100,geometric@0.90,0.0,0.0,0.0,0.0
