trial,seed,veto_fraction,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility
1,43,0.2,0.30000000000000004,geometric,0.0,1.0,0.6971639619402117
1,43,0.2,0.30000000000000004,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.35000000000000003,linear,0.0,1.0,0.6901409466672433
1,43,0.2,0.35000000000000003,geometric,0.0,1.0,0.7071947321211113
1,43,0.2,0.35000000000000003,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.4,linear,0.0,1.0,0.7158285190159933
1,43,0.2,0.4,geometric,0.0,1.0,0.7205828990641155
1,43,0.2,0.4,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.45,linear,0.0,1.0,0.7419873856607536
1,43,0.2,0.45,geometric,0.0,1.0,0.7412663089795248
1,43,0.2,0.45,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.5,linear,0.0,1.0,0.7669271794095238
1,43,0.2,0.5,geometric,0.0,1.0,0.7635125362945893
1,43,0.2,0.5,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.55,linear,0.0,1.0,0.7869943211058739
1,43,0.2,0.55,geometric,0.0,1.0,0.778422097654521
1,43,0.2,0.55,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.6000000000000001,linear,0.0,1.0,0.8062686641870981
1,43,0.2,0.6000000000000001,geometric,0.0,1.0,0.7937385395268305
1,43,0.2,0.6000000000000001,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.65,linear,0.0,1.0,0.8298816053469698
1,43,0.2,0.65,geometric,0.0,1.0,0.8073384808529789
1,43,0.2,0.65,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.7000000000000001,linear,0.0,1.0,0.8397913015769569
1,43,0.2,0.7000000000000001,geometric,0.0,1.0,0.8209287383462887
1,43,0.2,0.7000000000000001,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.75,linear,0.02,0.98,0.8530686308763528
1,43,0.2,0.75,geometric,0.0,1.0,0.8364731516823304
1,43,0.2,0.75,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.8,linear,0.14,0.86,0.8840366266413
1,43,0.2,0.8,geometric,0.0,1.0,0.8448189145857198
1,43,0.2,0.8,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.8500000000000001,linear,0.28,0.72,0.9067478632381116
1,43,0.2,0.8500000000000001,geometric,0.0,1.0,0.8515878392351253
1,43,0.2,0.8500000000000001,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.9,linear,0.39,0.61,0.9192128204485003
1,43,0.2,0.9,geometric,0.0,1.0,0.864735277314063
1,43,0.2,0.9,min,0.0,1.0,0.7448821381783003
1,43,0.2,0.9500000000000001,linear,0.47,0.53,0.9228572230256359
1,43,0.2,0.9500000000000001,geometric,0.0,1.0,0.8730380552346544
1,43,0.2,0.9500000000000001,min,0.0,1.0,0.7448821381783003
1,43,0.2,1.0,linear,0.55,0.44999999999999996,0.9244835959533411
1,43,0.2,1.0,geometric,0.0,1.0,0.8752556687073628
1,43,0.2,1.0,min,0.0,1.0,0.7448821381783003
2,44,0.2,0.0,linear,0.0,1.0,0.4878466729382036
2,44,0.2,0.0,geometric,0.0,1.0,0.4878466729382036
2,44,0.2,0.0,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.05,linear,0.0,1.0,0.5146307429887373
2,44,0.2,0.05,geometric,0.0,1.0,0.5447806203351924
2,44,0.2,0.05,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.1,linear,0.0,1.0,0.5441282906783929
2,44,0.2,0.1,geometric,0.0,1.0,0.5764124362652197
2,44,0.2,0.1,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.15000000000000002,linear,0.0,1.0,0.5768847112444541
2,44,0.2,0.15000000000000002,geometric,0.0,1.0,0.6118840476646431
2,44,0.2,0.15000000000000002,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.2,linear,0.0,1.0,0.6081384394000857
2,44,0.2,0.2,geometric,0.0,1.0,0.6446532469185924
2,44,0.2,0.2,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.25,linear,0.0,1.0,0.6250722263865872
2,44,0.2,0.25,geometric,0.0,1.0,0.6700654487402542
2,44,0.2,0.25,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.30000000000000004,linear,0.0,1.0,0.6562913758728695
2,44,0.2,0.30000000000000004,geometric,0.0,1.0,0.682760580295372
2,44,0.2,0.30000000000000004,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.35000000000000003,linear,0.0,1.0,0.6773375216753902
2,44,0.2,0.35000000000000003,geometric,0.0,1.0,0.7039637617691912
2,44,0.2,0.35000000000000003,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.4,linear,0.0,1.0,0.711940675971727
2,44,0.2,0.4,geometric,0.0,1.0,0.7222624529839741
2,44,0.2,0.4,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.45,linear,0.0,1.0,0.741398623382741
2,44,0.2,0.45,geometric,0.0,1.0,0.7471889965597514
2,44,0.2,0.45,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.5,linear,0.0,1.0,0.7545274298708182
2,44,0.2,0.5,geometric,0.0,1.0,0.7612116506276922
2,44,0.2,0.5,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.55,linear,0.0,1.0,0.7777217101011135
2,44,0.2,0.55,geometric,0.0,1.0,0.7688165301868459
2,44,0.2,0.55,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.6000000000000001,linear,0.0,1.0,0.8012769047512682
2,44,0.2,0.6000000000000001,geometric,0.0,1.0,0.7905959368666814
