trial,seed,sigma_r,operator_a,operator_b,kendall_tau,jaccard_top_k
0,42,0.2,linear@0.50,min,0.460226595110316,0.5384615384615384
0,42,0.2,linear@0.90,geometric@0.10,-0.26605105356424,0.09289617486338798
0,42,0.2,linear@0.90,geometric@0.50,0.007321448086361279,0.19760479041916168
0,42,0.2,linear@0.90,geometric@0.90,0.4046293508171607,0.3793103448275862
0,42,0.2,linear@0.90,min,-0.07399082590706538,0.14285714285714285
0,42,0.2,geometric@0.10,geometric@0.50,0.09290853031860227,0.42857142857142855
0,42,0.2,geometric@0.10,geometric@0.90,-0.2248520710059172,0.1834319526627219
0,42,0.2,geometric@0.10,min,0.1482128982128982,0.3888888888888889
0,42,0.2,geometric@0.50,geometric@0.90,0.17659804983748642,0.3986013986013986
0,42,0.2,geometric@0.50,min,0.5221288515406162,0.6666666666666666
0,42,0.2,geometric@0.90,min,0.028453267162944582,0.28205128205128205
1,43,0.0,linear@0.10,linear@0.50,0.018018018018018018,0.35135135135135137
1,43,0.0,linear@0.10,linear@0.90,-0.34547479810637705,0.05263157894736842
1,43,0.0,linear@0.10,geometric@0.10,0.7377734877734876,0.7857142857142857
1,43,0.0,linear@0.10,geometric@0.50,0.003809178305822601,0.3422818791946309
1,43,0.0,linear@0.10,geometric@0.90,-0.34539452802640774,0.12359550561797752
1,43,0.0,linear@0.10,min,-0.04281222284931066,0.26582278481012656
1,43,0.0,linear@0.50,linear@0.90,-0.09270615395714596,0.19760479041916168
1,43,0.0,linear@0.50,geometric@0.10,0.10354609929078014,0.41843971631205673
1,43,0.0,linear@0.50,geometric@0.50,0.878267363704257,0.9230769230769231
1,43,0.0,linear@0.50,geometric@0.90,0.06155816014970944,0.3986013986013986
1,43,0.0,linear@0.50,min,0.5149708711556699,0.639344262295082
1,43,0.0,linear@0.90,geometric@0.10,-0.375871207034094,0.06951871657754011
1,43,0.0,linear@0.90,geometric@0.50,-0.16741013942482297,0.17647058823529413
1,43,0.0,linear@0.90,geometric@0.90,0.31411619346478287,0.4084507042253521
1,43,0.0,linear@0.90,min,-0.1601945114295766,0.11731843575418995
1,43,0.0,geometric@0.10,geometric@0.50,0.08820297672560183,0.4084507042253521
1,43,0.0,geometric@0.10,geometric@0.90,-0.31321414168571043,0.15606936416184972
