trial,seed,sigma_r,config_id,operator,lambda,policy_violation_rate,kendall_tau,jaccard_top_k
2,44,0.05,geometric@0.90,geometric,0.9,0.0,0.5136536994660565,0.7391304347826086
2,44,0.05,min,min,,0.0,0.6751895609239994,0.8691588785046729
2,44,0.1,linear@0.10,linear,0.1,0.0,0.8697886921758996,0.941747572815534
2,44,0.1,linear@0.50,linear,0.5,0.0,0.48462267985367835,0.639344262295082
2,44,0.1,linear@0.90,linear,0.9,0.47,0.027822796465848548,0.48148148148148145
2,44,0.1,geometric@0.10,geometric,0.1,0.0,0.7992673992673991,0.9047619047619048
2,44,0.1,geometric@0.50,geometric,0.5,0.0,0.49887955182072824,0.6666666666666666
2,44,0.1,geometric@0.90,geometric,0.9,0.0,0.27844979448032886,0.5267175572519084
2,44,0.1,min,min,,0.0,0.46405837602856703,0.7543859649122807
2,44,0.2,linear@0.10,linear,0.1,0.0,0.7725067385444745,0.8867924528301887
2,44,0.2,linear@0.50,linear,0.5,0.0,0.16595105195362814,0.45985401459854014
2,44,0.2,linear@0.90,linear,0.9,0.42,-0.3106647800538979,0.28205128205128205
2,44,0.2,geometric@0.10,geometric,0.1,0.0,0.6554697624023565,0.7241379310344828
2,44,0.2,geometric@0.50,geometric,0.5,0.0,0.17213930348258707,0.48148148148148145
2,44,0.2,geometric@0.90,geometric,0.9,0.0,-0.016721840251252014,0.2987012987012987
2,44,0.2,min,min,,0.0,0.12930835068239646,0.5151515151515151
3,45,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
3,45,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
3,45,0.0,linear@0.90,linear,0.9,0.52,1.0,1.0
3,45,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
3,45,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
3,45,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
3,45,0.0,min,min,,0.0,1.0,1.0
3,45,0.05,linear@0.10,linear,0.1,0.0,0.9378761405552318,0.9607843137254902
3,45,0.05,linear@0.50,linear,0.5,0.0,0.6787162757891025,0.8691588785046729
3,45,0.05,linear@0.90,linear,0.9,0.48,0.3078336838879817,0.6129032258064516
3,45,0.05,geometric@0.10,geometric,0.1,0.0,0.9075907590759076,0.9607843137254902
3,45,0.05,geometric@0.50,geometric,0.5,0.0,0.6957464553794828,0.8181818181818182
3,45,0.05,geometric@0.90,geometric,0.9,0.0,0.5217391304347826,0.7241379310344828
3,45,0.05,min,min,,0.0,0.7218328840970352,0.8867924528301887
3,45,0.1,linear@0.10,linear,0.1,0.0,0.8558625840179238,0.9230769230769231
3,45,0.1,linear@0.50,linear,0.5,0.0,0.44902039184326265,0.6260162601626016
3,45,0.1,linear@0.90,linear,0.9,0.48,0.03692343117815521,0.43884892086330934
3,45,0.1,geometric@0.10,geometric,0.1,0.0,0.7708549671166492,0.8518518518518519
3,45,0.1,geometric@0.50,geometric,0.5,0.0,0.45674931129476576,0.6528925619834711
3,45,0.1,geometric@0.90,geometric,0.9,0.0,0.22359496124031006,0.5503875968992248
3,45,0.1,min,min,,0.0,0.45122310639552016,0.7094017094017094
3,45,0.2,linear@0.10,linear,0.1,0.0,0.742124542124542,0.9047619047619048
3,45,0.2,linear@0.50,linear,0.5,0.0,0.16087999165884684,0.43884892086330934
3,45,0.2,linear@0.90,linear,0.9,0.4,-0.16827816781722882,0.2578616352201258
3,45,0.2,geometric@0.10,geometric,0.1,0.0,0.5853025385597453,0.8518518518518519
3,45,0.2,geometric@0.50,geometric,0.5,0.0,0.16703691949645616,0.4492753623188406
3,45,0.2,geometric@0.90,geometric,0.9,0.0,0.04809866392600205,0.42857142857142855
3,45,0.2,min,min,,0.0,0.21447190074027733,0.43884892086330934
4,46,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
4,46,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
4,46,0.0,linear@0.90,linear,0.9,0.48,1.0,1.0
4,46,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
4,46,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
4,46,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
4,46,0.0,min,min,,0.0,1.0,1.0
4,46,0.05,linear@0.10,linear,0.1,0.0,0.9409900990099012,0.9801980198019802
4,46,0.05,linear@0.50,linear,0.5,0.0,0.7369070710633046,0.8691588785046729
4,46,0.05,linear@0.90,linear,0.9,0.45,0.2817692024907124,0.6260162601626016
4,46,0.05,geometric@0.10,geometric,0.1,0.0,0.8943241224794624,0.9230769230769231
4,46,0.05,geometric@0.50,geometric,0.5,0.0,0.7400811144418975,0.8691588785046729
4,46,0.05,geometric@0.90,geometric,0.9,0.0,0.4868847627468316,0.7094017094017094
4,46,0.05,min,min,,0.0,0.7862810791747488,0.8691588785046729
