trial,seed,sigma_r,top_k,config_id,operator,lambda,policy_violation_rate
0,42,0.05,30,geometric@0.50,geometric,0.5,0.0
0,42,0.05,40,geometric@0.50,geometric,0.5,0.0
0,42,0.05,50,geometric@0.50,geometric,0.5,0.0
0,42,0.05,60,geometric@0.50,geometric,0.5,0.0
0,42,0.05,70,geometric@0.50,geometric,0.5,0.0
0,42,0.05,80,geometric@0.50,geometric,0.5,0.0
0,42,0.05,90,geometric@0.50,geometric,0.5,0.0
0,42,0.05,100,geometric@0.50,geometric,0.5,0.0
0,42,0.05,10,geometric@0.90,geometric,0.9,0.0
0,42,0.05,20,geometric@0.90,geometric,0.9,0.0
0,42,0.05,30,geometric@0.90,geometric,0.9,0.0
0,42,0.05,40,geometric@0.90,geometric,0.9,0.0
0,42,0.05,50,geometric@0.90,geometric,0.9,0.0
0,42,0.05,60,geometric@0.90,geometric,0.9,0.0
0,42,0.05,70,geometric@0.90,geometric,0.9,0.0
0,42,0.05,80,geometric@0.90,geometric,0.9,0.0
0,42,0.05,90,geometric@0.90,geometric,0.9,0.0
0,42,0.05,100,geometric@0.90,geometric,0.9,0.0
0,42,0.05,10,min,min,,0.0
0,42,0.05,20,min,min,,0.0
0,42,0.05,30,min,min,,0.0
0,42,0.05,40,min,min,,0.0
0,42,0.05,50,min,min,,0.0
0,42,0.05,60,min,min,,0.0
0,42,0.05,70,min,min,,0.0
0,42,0.05,80,min,min,,0.0
0,42,0.05,90,min,min,,0.0
0,42,0.05,100,min,min,,0.0
0,42,0.1,10,linear@0.10,linear,0.1,0.0
0,42,0.1,20,linear@0.10,linear,0.1,0.0
0,42,0.1,30,linear@0.10,linear,0.1,0.0
0,42,0.1,40,linear@0.10,linear,0.1,0.0
0,42,0.1,50,linear@0.10,linear,0.1,0.0
0,42,0.1,60,linear@0.10,linear,0.1,0.0
0,42,0.1,70,linear@0.10,linear,0.1,0.0
0,42,0.1,80,linear@0.10,linear,0.1,0.0
0,42,0.1,90,linear@0.10,linear,0.1,0.0
0,42,0.1,100,linear@0.10,linear,0.1,0.0
0,42,0.1,10,linear@0.50,linear,0.5,0.0
0,42,0.1,20,linear@0.50,linear,0.5,0.0
0,42,0.1,30,linear@0.50,linear,0.5,0.0
0,42,0.1,40,linear@0.50,linear,0.5,0.0
0,42,0.1,50,linear@0.50,linear,0.5,0.0
0,42,0.1,60,linear@0.50,linear,0.5,0.0
0,42,0.1,70,linear@0.50,linear,0.5,0.0
0,42,0.1,80,linear@0.50,linear,0.5,0.0
0,42,0.1,90,linear@0.50,linear,0.5,0.0
0,42,0.1,100,linear@0.50,linear,0.5,0.0
0,42,0.1,10,linear@0.90,linear,0.9,0.0
0,42,0.1,20,linear@0.90,linear,0.9,0.0
0,42,0.1,30,linear@0.90,linear,0.9,0.16666666666666666
0,42,0.1,40,linear@0.90,linear,0.9,0.35
0,42,0.1,50,linear@0.90,linear,0.9,0.38
0,42,0.1,60,linear@0.90,linear,0.9,0.35
0,42,0.1,70,linear@0.90,linear,0.9,0.38571428571428573
0,42,0.1,80,linear@0.90,linear,0.9,0.4
0,42,0.1,90,linear@0.90,linear,0.9,0.37777777777777777
0,42,0.1,100,linear@0.90,linear,0.9,0.42
0,42,0.1,10,geometric@0.10,geometric,0.1,0.0
0,42,0.1,20,geometric@0.10,geometric,0.1,0.0
0,42,0.1,30,geometric@0.10,geometric,0.1,0.0
0,42,0.1,40,geometric@0.10,geometric,0.1,0.0
0,42,0.1,50,geometric@0.10,geometric,0.1,0.0
0,42,0.1,60,geometric@0.10,geometric,0.1,0.0
0,42,0.1,70,geometric@0.10,geometric,0.1,0.0
0,42,0.1,80,geometric@0.10,geometric,0.1,0.0
0,42,0.1,90,geometric@0.10,geometric,0.1,0.0
0,42,0.1,100,geometric@0.10,geometric,0.1,0.0
0,42,0.1,10,geometric@0.50,geometric,0.5,0.0
0,42,0.1,20,geometric@0.50,geometric,0.5,0.0
0,42,0.1,30,geometric@0.50,geometric,0.5,0.0
0,42,0.1,40,geometric@0.50,geometric,0.5,0.0
0,42,0.1,50,geometric@0.50,geometric,0.5,0.0
0,42,0.1,60,geometric@0.50,geometric,0.5,0.0
0,42,0.1,70,geometric@0.50,geometric,0.5,0.0
0,42,0.1,80,geometric@0.50,geometric,0.5,0.0
0,42,0.1,90,geometric@0.50,geometric,0.5,0.0
0,42,0.1,100,geometric@0.50,geometric,0.5,0.0
0,42,0.1,10,geometric@0.90,geometric,0.9,0.0
0,42,0.1,20,geometric@0.90,geometric,0.9,0.0
0,42,0.1,30,geometric@0.90,geometric,0.9,0.0
0,42,0.1,40,geometric@0.90,geometric,0.9,0.0
0,42,0.1,50,geometric@0.90,geometric,0.9,0.0
0,42,0.1,60,geometric@0.90,geometric,0.9,0.0
0,42,0.1,70,geometric@0.90,geometric,0.9,0.0
0,42,0.1,80,geometric@0.90,geometric,0.9,0.0
0,42,0.1,90,geometric@0.90,geometric,0.9,0.0
0,42,0.1,100,geometric@0.90,geometric,0.9,0.0
0,42,0.1,10,min,min,,0.0
0,42,0.1,20,min,min,,0.0
0,42,0.1,30,min,min,,0.0
0,42,0.1,40,min,min,,0.0
0,42,0.1,50,min,min,,0.0
0,42,0.1,60,min,min,,0.0
0,42,0.1,70,min,min,,0.0
0,42,0.1,80,min,min,,0.0
0,42,0.1,90,min,min,,0.0
0,42,0.1,100,min,min,,0.0
0,42,0.2,10,linear@0.10,linear,0.1,0.0
0,42,0.2,20,linear@0.10,linear,0.1,0.0
0,42,0.2,30,linear@0.10,linear,0.1,0.0
0,42,0.2,40,linear@0.10,linear,0.1,0.0
0,42,0.2,50,linear@0.10,linear,0.1,0.0
0,42,0.2,60,linear@0.10,linear,0.1,0.0
0,42,0.2,70,linear@0.10,linear,0.1,0.0
0,42,0.2,80,linear@0.10,linear,0.1,0.0
0,42,0.2,90,linear@0.10,linear,0.1,0.0
0,42,0.2,100,linear@0.10,linear,0.1,0.0
0,42,0.2,10,linear@0.50,linear,0.5,0.0
0,42,0.2,20,linear@0.50,linear,0.5,0.0
0,42,0.2,30,linear@0.50,linear,0.5,0.0
0,42,0.2,40,linear@0.50,linear,0.5,0.0
0,42,0.2,50,linear@0.50,linear,0.5,0.0
0,42,0.2,60,linear@0.50,linear,0.5,0.0
0,42,0.2,70,linear@0.50,linear,0.5,0.0
0,42,0.2,80,linear@0.50,linear,0.5,0.0
0,42,0.2,90,linear@0.50,linear,0.5,0.0
0,42,0.2,100,linear@0.50,linear,0.5,0.0
0,42,0.2,10,linear@0.90,linear,0.9,0.0
0,42,0.2,20,linear@0.90,linear,0.9,0.0
0,42,0.2,30,linear@0.90,linear,0.9,0.0
0,42,0.2,40,linear@0.90,linear,0.9,0.0
0,42,0.2,50,linear@0.90,linear,0.9,0.02
0,42,0.2,60,linear@0.90,linear,0.9,0.18333333333333332
0,42,0.2,70,linear@0.90,linear,0.9,0.3
0,42,0.2,80,linear@0.90,linear,0.9,0.3875
