sigma_r,top_k,clipped_non_veto_top_k_share_mean,clipped_non_veto_top_k_share_std,clipped_non_veto_top_k_share_ci_low,clipped_non_veto_top_k_share_ci_high,vetoed_top_k_share_mean,vetoed_top_k_share_std,vetoed_top_k_share_ci_low,vetoed_top_k_share_ci_high,other_top_k_share_mean,other_top_k_share_std,other_top_k_share_ci_low,other_top_k_share_ci_high
0.1,80,0.13473749999999998,0.039382112621652796,0.0625,0.2125,0.43921249999999995,0.052093063655644506,0.3375,0.5375,0.42604999999999993,0.05296947956857576,0.325,0.525
0.1,90,0.11976666666666667,0.03500632233035804,0.05555555555555555,0.18888888888888888,0.4417777777777778,0.04915831564228895,0.34444444444444444,0.5333333333333333,0.43845555555555565,0.04944167193135576,0.34444444444444444,0.5333333333333333
0.1,100,0.10779000000000002,0.031505690097322236,0.05,0.17,0.44304000000000004,0.04603561314545161,0.35,0.53,0.44917,0.04625744103223665,0.36,0.54
0.2,10,0.9049,0.09367371437476345,0.7,1.0,0.0,0.0,0.0,0.0,0.09509999999999999,0.09367371437476345,0.0,0.3
0.2,20,0.85995,0.07902368152802197,0.7,1.0,0.0,0.0,0.0,0.0,0.14005,0.07902368152802199,0.0,0.3
0.2,30,0.8171333333333335,0.07338369975418135,0.6666666666666666,0.9666666666666667,0.0,0.0,0.0,0.0,0.18286666666666668,0.07338369975418133,0.03333333333333333,0.3333333333333333
0.2,40,0.768975,0.0732269524257398,0.625,0.9,0.00030000000000000003,0.004602301726438759,0.0,0.0,0.230725,0.07290860744822959,0.1,0.375
0.2,50,0.70552,0.08231832059697225,0.54,0.86,0.014280000000000001,0.03992086265695264,0.0,0.14049999999999957,0.2802,0.07028584565970662,0.14,0.42
0.2,60,0.6207666666666667,0.0913776406269054,0.45,0.7833333333333333,0.08206666666666666,0.08872642811311847,0.0,0.2837499999999996,0.2971666666666667,0.061942878957850514,0.18333333333333332,0.4166666666666667
0.2,70,0.5378857142857142,0.08600562528012178,0.38571428571428573,0.7142857142857143,0.19161428571428574,0.10251921764188542,0.0,0.3860714285714283,0.2705,0.059281402588468854,0.15714285714285714,0.38571428571428573
0.2,80,0.47105,0.07616108265059335,0.3375,0.6375,0.28975,0.09322622285938989,0.0875,0.4625,0.2392,0.052786920339786436,0.15,0.35
0.2,90,0.4187111111111111,0.06769874013386075,0.3,0.5666666666666667,0.36067777777777776,0.07473055692030604,0.18888888888888888,0.4888888888888889,0.22061111111111112,0.04520806429963237,0.14444444444444443,0.3111111111111111
0.2,100,0.37684,0.06092886612047468,0.27,0.51,0.39658000000000004,0.054913742534261116,0.27,0.49,0.22658,0.04554973521743434,0.14,0.32
